SectionID,Year,Semester
1,2010,Fall
2,2022,Summer
3,2002,Summer
4,2000,Fall
5,2011,Fall
6,2013,Spring
7,2015,Fall
8,2001,Spring
9,2000,Spring
10,2007,Fall
11,2016,Spring
12,2014,Fall
13,2004,Fall
14,2004,Fall
15,2008,Spring
16,2010,Spring
17,2021,Summer
18,2015,Summer
19,2005,Summer
20,2019,Spring
21,2017,Summer
22,2014,Fall
23,2021,Summer
24,2018,Spring
25,2020,Fall
26,2015,Summer
27,2009,Spring
28,2009,Fall
29,2006,Summer
30,2011,Spring
31,2018,Fall
32,2019,Spring
33,2017,Spring
34,2000,Spring
35,2015,Summer
36,2005,Summer
37,2011,Spring
38,2015,Summer
39,2015,Spring
40,2005,Summer
41,2006,Summer
42,2000,Summer
43,2018,Fall
44,2018,Summer
45,2019,Fall
46,2001,Spring
47,2015,Summer
48,2007,Summer
49,2022,Summer
50,2016,Summer
51,2012,Fall
52,2021,Summer
53,2013,Summer
54,2011,Fall
55,2009,Summer
56,2000,Summer
57,2020,Spring
58,2012,Spring
59,2007,Spring
60,2011,Summer
61,2000,Spring
62,2001,Summer
63,2016,Spring
64,2002,Fall
65,2009,Fall
66,2012,Summer
67,2022,Fall
68,2009,Fall
69,2018,Fall
70,2018,Summer
71,2006,Summer
72,2008,Fall
73,2016,Spring
74,2001,Spring
75,2014,Spring
76,2015,Summer
77,2021,Spring
78,2019,Fall
79,2011,Summer
80,2020,Spring
81,2015,Fall
82,2020,Fall
83,2003,Summer
84,2002,Spring
85,2001,Summer
86,2007,Fall
87,2014,Spring
88,2009,Fall
89,2019,Summer
90,2022,Summer
91,2017,Fall
92,2015,Summer
93,2005,Fall
94,2006,Spring
95,2008,Summer
96,2010,Summer
97,2007,Fall
98,2008,Spring
99,2006,Fall
100,2008,Spring
101,2010,Spring
102,2019,Fall
103,2006,Spring
104,2018,Fall
105,2008,Fall
106,2004,Summer
107,2018,Summer
108,2007,Summer
109,2013,Spring
110,2007,Summer
111,2001,Spring
112,2000,Summer
113,2022,Fall
114,2007,Spring
115,2011,Summer
116,2015,Spring
117,2019,Fall
118,2017,Fall
119,2004,Fall
120,2002,Fall
121,2016,Spring
122,2009,Fall
123,2015,Fall
124,2003,Fall
125,2022,Spring
126,2012,Summer
127,2018,Spring
128,2010,Summer
129,2021,Fall
130,2011,Spring
131,2021,Summer
132,2010,Fall
133,2018,Spring
134,2011,Summer
135,2000,Spring
136,2002,Spring
137,2013,Summer
138,2019,Fall
139,2011,Summer
140,2014,Summer
141,2006,Fall
142,2016,Summer
143,2011,Spring
144,2019,Spring
145,2015,Fall
146,2017,Fall
147,2001,Spring
148,2021,Summer
149,2001,Summer
150,2009,Fall
151,2001,Fall
152,2008,Summer
153,2018,Spring
154,2005,Summer
155,2020,Spring
156,2009,Spring
157,2010,Summer
158,2005,Summer
159,2003,Summer
160,2020,Spring
161,2003,Fall
162,2012,Summer
163,2022,Spring
164,2000,Summer
165,2000,Fall
166,2000,Spring
167,2006,Summer
168,2021,Spring
169,2008,Summer
170,2005,Summer
171,2011,Fall
172,2000,Spring
173,2017,Fall
174,2014,Fall
175,2003,Summer
176,2014,Fall
177,2009,Fall
178,2003,Summer
179,2011,Fall
180,2011,Summer
181,2018,Fall
182,2007,Spring
183,2000,Spring
184,2013,Fall
185,2020,Spring
186,2005,Summer
187,2016,Spring
188,2021,Spring
189,2002,Summer
190,2022,Spring
191,2022,Spring
192,2003,Spring
193,2004,Summer
194,2002,Fall
195,2009,Spring
196,2010,Spring
197,2012,Summer
198,2012,Fall
199,2001,Spring
200,2006,Fall
201,2010,Fall
202,2007,Spring
203,2013,Spring
204,2020,Fall
205,2006,Summer
206,2018,Summer
207,2021,Fall
208,2019,Summer
209,2006,Summer
210,2013,Summer
211,2005,Summer
212,2005,Fall
213,2001,Fall
214,2008,Fall
215,2011,Summer
216,2000,Summer
217,2001,Spring
218,2002,Summer
219,2022,Fall
220,2001,Fall
221,2002,Fall
222,2020,Fall
223,2006,Fall
224,2006,Spring
225,2012,Fall
226,2004,Summer
227,2004,Spring
228,2012,Summer
229,2016,Spring
230,2000,Fall
231,2021,Summer
232,2000,Fall
233,2010,Spring
234,2015,Summer
235,2015,Fall
236,2003,Summer
237,2007,Summer
238,2002,Summer
239,2012,Spring
240,2010,Summer
241,2005,Summer
242,2006,Summer
243,2008,Fall
244,2008,Spring
245,2018,Fall
246,2000,Summer
247,2000,Spring
248,2008,Spring
249,2020,Summer
250,2003,Summer
251,2008,Spring
252,2003,Spring
253,2007,Spring
254,2000,Spring
255,2014,Summer
256,2005,Spring
257,2012,Fall
258,2012,Fall
259,2016,Spring
260,2006,Spring
261,2014,Summer
262,2021,Fall
263,2012,Spring
264,2022,Fall
265,2010,Spring
266,2009,Summer
267,2004,Fall
268,2007,Fall
269,2009,Spring
270,2021,Spring
271,2000,Fall
272,2007,Spring
273,2009,Spring
274,2004,Spring
275,2005,Summer
276,2022,Summer
277,2007,Fall
